"key","message","comment","context"
"2eme fournisseur",,,"resources\domains\OperationDepense.xml:17"
"3eme fournisseur",,,"resources\domains\OperationDepense.xml:20"
"4eme fournisseur",,,"resources\domains\OperationDepense.xml:23"
"5eme fournisseur",,,"resources\domains\OperationDepense.xml:26"
"ACTICLE",,,"resources\views\Print.xml:30"
"ADMINISTRATIF",,,"resources\views\Menu.xml:9"
"ASS-ENNAJAH",,,"resources\views\Menu.xml:5"
"AU",,,"resources\views\Print.xml:22"
"Addres",,,"resources\domains\AssEnajahInfo.xml:14"
"Alimentation de la caisse",,,"resources\views\TransfertDeSolde.xml:28"
"BENEFICIE",,,"resources\views\Print.xml:38"
"BUDGET",,,"resources\views\Menu.xml:7"
"Bon de Caisse",,,"resources\views\OperationDepense.xml:231"
"Bon de commande",,,"resources\views\OperationDepense.xml:232
resources\views\OperationDepense.xml:238
resources\views\OperationDepense.xml:253"
"Code","Code",,"resources\domains\DomaineDepens.xml:9
resources\domains\DomaineRecette.xml:9"
"Commandes",,,"resources\views\OperationDepense.xml:178
resources\views\OperationDepense.xml:188"
"Created by",,,"resources\domains\AssEnajahInfo.xml:23
resources\domains\DomaineDepens.xml:19
resources\domains\DomaineRecette.xml:19
resources\domains\OperationDepense.xml:53
resources\domains\PieceJoindreDepense.xml:19
resources\domains\PieceJoindreRecette.xml:20
resources\domains\PieceJoindreTransfertSolde.xml:20
resources\domains\TableDepens.xml:34
resources\domains\TableRecettes.xml:23
resources\domains\TransfertDeSolde.xml:22"
"DEPENSES",,,"resources\views\Menu.xml:18"
"DU",,,"resources\views\Print.xml:21"
"Date",,,"resources\domains\OperationDepense.xml:31
resources\domains\TableRecettes.xml:9
resources\domains\TransfertDeSolde.xml:11"
"Date de creatoion",,,"resources\domains\AssEnajahInfo.xml:15"
"Demande de devis",,,"resources\views\OperationDepense.xml:236
resources\views\OperationDepense.xml:251"
"Domain depense",,,"resources\domains\OperationDepense.xml:43"
"Domaine De Depens",,,"resources\views\OperationDepense.xml:216"
"Domaine De Recette",,,"resources\domains\TableRecettes.xml:15"
"Domaine Recette",,,"resources\views\DomaineRecettes.xml:12
resources\views\DomaineRecettes.xml:7
resources\views\Menu.xml:76
resources\views\Menu.xml:78"
"Domaine/cheque",,,"resources\views\OperationDepense.xml:204"
"Donateur",,,"resources\domains\TableRecettes.xml:10"
"Désignation",,,"resources\domains\PieceJoindreDepense.xml:9
resources\domains\PieceJoindreRecette.xml:9
resources\domains\PieceJoindreTransfertSolde.xml:9
resources\domains\TableDepens.xml:9"
"Déterminer de fournisseur",,,"resources\views\OperationDepense.xml:237
resources\views\OperationDepense.xml:252"
"Déterminer les besoins",,,"resources\views\OperationDepense.xml:235
resources\views\OperationDepense.xml:245
resources\views\OperationDepense.xml:250"
"EXCEL",,,"resources\views\OperationDepense.xml:262"
"Email","Email",,"resources\domains\AssEnajahInfo.xml:12"
"Enregistrer",,,"resources\views\OperationDepense.xml:43
resources\views\OperationDepense.xml:95"
"Etablissement",,,"resources\domains\AssEnajahInfo.xml:16
resources\domains\DomaineDepens.xml:12
resources\domains\DomaineRecette.xml:12
resources\domains\OperationDepense.xml:46
resources\domains\PieceJoindreDepense.xml:12
resources\domains\PieceJoindreRecette.xml:13
resources\domains\PieceJoindreTransfertSolde.xml:13
resources\domains\TableDepens.xml:27
resources\domains\TableRecettes.xml:16
resources\domains\TransfertDeSolde.xml:15"
"Facture",,,"resources\views\OperationDepense.xml:240
resources\views\OperationDepense.xml:255"
"Fax",,,"resources\domains\AssEnajahInfo.xml:11"
