code;permissions
centreLangueAdmin;perm.hakibati.centre.langue.EleveCentre.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.GroupeCentre.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.InfoCentreLangue.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.MatiereCentre.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.NiveauCentre.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.ProfCentre.select.etab.rwcde
centreLangueAdmin;perm.hakibati.centre.langue.SuiviFinancierCentre.select.etab.rwcde

demo;perm.hakibati.centre.langue.EleveCentre.select.etab.rwcde
demo;perm.hakibati.centre.langue.GroupeCentre.select.etab.rwcde
demo;perm.hakibati.centre.langue.InfoCentreLangue.select.etab.rwcde
demo;perm.hakibati.centre.langue.MatiereCentre.select.etab.rwcde
demo;perm.hakibati.centre.langue.NiveauCentre.select.etab.rwcde
demo;perm.hakibati.centre.langue.ProfCentre.select.etab.rwcde
demo;perm.hakibati.centre.langue.SuiviFinancierCentre.select.etab.rwcde



