code;permissions

etablissementAdmin;perm.hakibati.eau.electricite.ConsommationEau.select.etab.r
etablissementAdmin;perm.hakibati.eau.electricite.ConsommationElectricite.select.etab.r
etablissementAdmin;perm.hakibati.eau.electricite.ControleEau.select.etab.rwcde
etablissementAdmin;perm.hakibati.eau.electricite.ControleElectricite.select.etab.rwcde
etablissementAdmin;perm.hakibati.eau.electricite.GestionEauElectricite.select.etab.rwcde

demo;perm.hakibati.eau.electricite.ConsommationEau.select.etab.rwcde
demo;perm.hakibati.eau.electricite.ConsommationElectricite.select.etab.rwcde
demo;perm.hakibati.eau.electricite.ControleEau.select.etab.rwcde
demo;perm.hakibati.eau.electricite.ControleElectricite.select.etab.rwcde
demo;perm.hakibati.eau.electricite.GestionEauElectricite.select.etab.rwcde

directionAdmin;perm.hakibati.eau.electricite.ConsommationEau.select.direction.rwcde
directionAdmin;perm.hakibati.eau.electricite.ConsommationElectricite.select.direction.rwcde
directionAdmin;perm.hakibati.eau.electricite.ControleEau.select.direction.r
directionAdmin;perm.hakibati.eau.electricite.ControleElectricite.select.direction.r
directionAdmin;perm.hakibati.eau.electricite.GestionEauElectricite.select.direction.rwc
directionAdmin;perm.hakibati.eau.electricite.GestionEauElectricite.select.etab.r
