name;permissions

role.hakibati.eau.electricite.delete;perm.hakibati.eau.electricite.ConsommationEau.select.etab.r
role.hakibati.eau.electricite.delete;perm.hakibati.eau.electricite.ConsommationElectricite.select.etab.r
role.hakibati.eau.electricite.delete;perm.hakibati.eau.electricite.ControleEau.select.etab.rwcde
role.hakibati.eau.electricite.delete;perm.hakibati.eau.electricite.ControleElectricite.select.etab.rwcde
role.hakibati.eau.electricite.delete;perm.hakibati.eau.electricite.InfoEauElectricite.select.etab.rwcde

role.hakibati.eau.electricite.write;perm.hakibati.eau.electricite.ConsommationEau.select.etab.r
role.hakibati.eau.electricite.write;perm.hakibati.eau.electricite.ConsommationElectricite.select.etab.r
role.hakibati.eau.electricite.write;perm.hakibati.eau.electricite.ControleEau.select.etab.rwcde
role.hakibati.eau.electricite.write;perm.hakibati.eau.electricite.ControleElectricite.select.etab.rwc
role.hakibati.eau.electricite.write;perm.hakibati.eau.electricite.InfoEauElectricite.select.etab.rwc

role.hakibati.eau.electricite.read;perm.hakibati.eau.electricite.ConsommationEau.select.etab.r
role.hakibati.eau.electricite.read;perm.hakibati.eau.electricite.ConsommationElectricite.select.etab.r
role.hakibati.eau.electricite.read;perm.hakibati.eau.electricite.ControleEau.select.etab.r
role.hakibati.eau.electricite.read;perm.hakibati.eau.electricite.ControleElectricite.select.etab.r
role.hakibati.eau.electricite.read;perm.hakibati.eau.electricite.InfoEauElectricite.select.etab.r
