"key","message","comment","context"
"......",,,"resources\views\GestionEauElectricite.xml:23"
"Ajoute","اضافة",,"resources\views\GestionEauElectricite.xml:55
resources\views\GestionEauElectricite.xml:68
resources\views\GestionEauElectricite.xml:83
resources\views\GestionEauElectricite.xml:97"
"Ajouter ou modifier","إضافة أو تعديل",,"resources\views\ConsommationEau.xml:21
resources\views\ConsommationElectricite.xml:20
resources\views\ControleEau.xml:34
resources\views\ControleElectricite.xml:33"
"COL","اعدادي",,"java\com\eau\electricite\service\ControlElectriciteService.java:86
java\com\eau\electricite\service\ControleEauService.java:86"
"College","اعدادي",,"resources\domains\GestionEauElectricite.xml:13"
"Commune","الجماعة",,"java\com\eau\electricite\service\ConsommationEauService.java:74
java\com\eau\electricite\service\ConsommationElectriciteService.java:74
java\com\eau\electricite\service\ControlElectriciteService.java:76
java\com\eau\electricite\service\ControleEauService.java:76"
"Compteur","العداد",,"java\com\eau\electricite\service\ControlElectriciteService.java:111
java\com\eau\electricite\service\ControlElectriciteService.java:117
java\com\eau\electricite\service\ControleEauService.java:111
java\com\eau\electricite\service\ControleEauService.java:117"
"Compteur Du","العداد من",,"resources\domains\ConsommationEau.xml:9
resources\domains\ConsommationElectricite.xml:9"
"Compteur Fin","العداد الى",,"resources\domains\ConsommationEau.xml:11
resources\domains\ConsommationElectricite.xml:11"
"Consommation","الاستهلاك",,"java\com\eau\electricite\service\ControlElectriciteService.java:120
java\com\eau\electricite\service\ControleEauService.java:120
resources\views\Menu.xml:14"
"Consommation d'électricite par etablissement","استهلاك الكهرباء حسب المؤسسات",,"resources\views\Charts.xml:122"
"Consommation de l'eau par etablissement","استهلاك الماء حسب المؤسسات",,"resources\views\Charts.xml:6"
"Consommation de téléphone par etablissement","استهلاك الهاتف حسب المؤسسات",,"resources\views\Charts.xml:203"
"Consommation/Jour","الاستهلاك/اليوم",,"java\com\eau\electricite\service\ControlElectriciteService.java:122
java\com\eau\electricite\service\ControleEauService.java:122"
