"key","message","comment","context"
"......",,,"resources\views\GestionEauElectricite.xml:23"
"Ajoute",,,"resources\views\GestionEauElectricite.xml:55
resources\views\GestionEauElectricite.xml:68
resources\views\GestionEauElectricite.xml:83
resources\views\GestionEauElectricite.xml:97"
"Ajouter ou modifier",,,"resources\views\ConsommationEau.xml:21
resources\views\ConsommationElectricite.xml:20
resources\views\ControleEau.xml:34
resources\views\ControleElectricite.xml:33"
"COL",,,"java\com\eau\electricite\service\ControlElectriciteService.java:86
java\com\eau\electricite\service\ControleEauService.java:86"
"College",,,"resources\domains\GestionEauElectricite.xml:13"
"Commune",,,"java\com\eau\electricite\service\ConsommationEauService.java:74
java\com\eau\electricite\service\ConsommationElectriciteService.java:74
java\com\eau\electricite\service\ControlElectriciteService.java:76
java\com\eau\electricite\service\ControleEauService.java:76"
"Compteur",,,"java\com\eau\electricite\service\ControlElectriciteService.java:111
java\com\eau\electricite\service\ControlElectriciteService.java:117
java\com\eau\electricite\service\ControleEauService.java:111
java\com\eau\electricite\service\ControleEauService.java:117"
"Compteur Du",,,"resources\domains\ConsommationEau.xml:9
resources\domains\ConsommationElectricite.xml:9"
"Compteur Fin",,,"resources\domains\ConsommationEau.xml:11
resources\domains\ConsommationElectricite.xml:11"
"Consommation",,,"java\com\eau\electricite\service\ControlElectriciteService.java:120
java\com\eau\electricite\service\ControleEauService.java:120
resources\views\Menu.xml:14"
"Consommation d'électricite par etablissement",,,"resources\views\Charts.xml:122"
"Consommation de l'eau par etablissement",,,"resources\views\Charts.xml:6"
"Consommation de téléphone par etablissement",,,"resources\views\Charts.xml:203"
"Consommation/Jour",,,"java\com\eau\electricite\service\ControlElectriciteService.java:122
java\com\eau\electricite\service\ControleEauService.java:122"
"Contrat Eau",,,"java\com\eau\electricite\service\ConsommationEauService.java:80"
"Contrat Electricite",,,"java\com\eau\electricite\service\ConsommationElectriciteService.java:80"
"Controle Eau",,,"resources\views\GestionEauElectricite.xml:63"
"Controle de consommation",,,"resources\views\ControleEau.xml:27
resources\views\ControleElectricite.xml:27"
