code;permissions

etablissementAdmin;perm.hakibati.emploi.temps.ActivityResulteFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.DayFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.DayHourFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.DossierImportFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.HourFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.ResultatFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.RoomDossier.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.RoomFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.StudentDossier.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.StudentFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.SubjectFet.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.TeacherDossier.select.etab.rwcde
etablissementAdmin;perm.hakibati.emploi.temps.TeacherFet.select.etab.rwcde

demo;perm.hakibati.emploi.temps.ActivityResulteFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.DayFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.DayHourFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.DossierImportFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.HourFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.ResultatFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.RoomDossier.select.etab.rwcde
demo;perm.hakibati.emploi.temps.RoomFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.StudentDossier.select.etab.rwcde
demo;perm.hakibati.emploi.temps.StudentFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.SubjectFet.select.etab.rwcde
demo;perm.hakibati.emploi.temps.TeacherDossier.select.etab.rwcde
demo;perm.hakibati.emploi.temps.TeacherFet.select.etab.rwcde
