name;permissions
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.ActivityResulteFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.DayFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.DayHourFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.DossierImportFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.HourFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.ResultatFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.RoomDossier.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.RoomFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.StudentDossier.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.StudentFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.SubjectFet.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.TeacherDossier.select.etab.r
role.hakibati.emploi.temps.read;perm.hakibati.emploi.temps.TeacherFet.select.etab.r

role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.ActivityResulteFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.DayFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.DayHourFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.DossierImportFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.HourFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.ResultatFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.RoomDossier.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.RoomFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.StudentDossier.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.StudentFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.SubjectFet.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.TeacherDossier.select.etab.rwc
role.hakibati.emploi.temps.write;perm.hakibati.emploi.temps.TeacherFet.select.etab.rwc

role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.ActivityResulteFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.DayFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.DayHourFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.DossierImportFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.HourFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.ResultatFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.RoomDossier.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.RoomFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.StudentDossier.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.StudentFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.SubjectFet.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.TeacherDossier.select.etab.rwcde
role.hakibati.emploi.temps.delete;perm.hakibati.emploi.temps.TeacherFet.select.etab.rwcde
