"key","message","comment","context"
"2eme class","القسم2",,"resources\domains\ActivityResulteFet.xml:14"
"2eme prof","استاذ2",,"resources\domains\ActivityResulteFet.xml:17"
"Activity resultes fet",,,"resources\domains\DossierImportFet.xml:27"
"Aperçu","معاينة",,"resources\views\DossierImportFet.xml:37
resources\views\DossierImportFet.xml:70
resources\views\DossierImportFet.xml:71
resources\views\DossierImportFet.xml:9"
"Aperçu des tables",,,"resources\views\DossierImportFet.xml:184
resources\views\DossierImportFet.xml:195"
"Apres-midi","الفترة المسائية",,"java\com\emploi\temps\service\DossierImportFetService.java:373
java\com\emploi\temps\service\DossierImportFetService.java:73
java\com\emploi\temps\service\ExportEmpoiExcel.java:226"
"Choisissez un fichier au format fet","اختر ملف من نوع  fet",,"java\com\emploi\temps\service\ResultaFetService.java:51"
"Classes Fet","اقسام FET",,"resources\domains\ResultatFet.xml:15"
"Created by",,,"resources\domains\ActivityResulteFet.xml:26
resources\domains\DayFet.xml:20
resources\domains\DayHourFet.xml:23
resources\domains\DossierImportFet.xml:37
resources\domains\HourFet.xml:20
resources\domains\ResultatFet.xml:23
resources\domains\RoomDossier.xml:20
resources\domains\RoomFet.xml:20
resources\domains\StudentDossier.xml:26
resources\domains\StudentFet.xml:19
resources\domains\SubjectFet.xml:19
resources\domains\TeacherDossier.xml:21
resources\domains\TeacherFet.xml:20"
"DIMANCHE","الأحد",,"java\com\emploi\temps\web\IReport.java:42"
"Dossier import fet",,,"resources\domains\ActivityResulteFet.xml:18
resources\domains\DayFet.xml:12
resources\domains\HourFet.xml:12
resources\domains\RoomDossier.xml:11
resources\domains\StudentDossier.xml:18
resources\domains\TeacherDossier.xml:12"
"DossierImportFet",,,"resources\views\DossierImportFet.xml:147
resources\views\ResultatFet.xml:40"
"Dossiers Fet","ملفات FET",,"resources\domains\ResultatFet.xml:14"
"Doti","رت",,"resources\domains\TeacherFet.xml:10"
"Détails","التفاصيل",,"resources\views\DossierImportFet.xml:114
resources\views\DossierImportFet.xml:34"
"EXCEL",,,"resources\views\DossierImportFet.xml:156"
"Emploi Du Temps de toutes les classes","استعمـــــال الزمـــــــــن لجمعيــــع الاقســـــــــام",,"java\com\emploi\temps\web\IReport.java:53"
"Emploi Du Temps de toutes les professeurs","جدول الحصــــــــــص لجمعيـــــــع الاساتـــــذة",,"java\com\emploi\temps\web\IReport.java:55"
"Emploi Du Temps de toutes les salles","استعمـــــال الزمـــــــــن لجمعيــــع القاعـــــات",,"java\com\emploi\temps\web\IReport.java:51"
"Emploi Du temps des Salles","استعمال الزمن للقاعات",,"java\com\emploi\temps\web\DossierImportFetController.java:148"
"Emploi Du temps des Salles par Jour","استعمال الزمن الاجمالي للقاعات حسب الايام",,"java\com\emploi\temps\web\DossierImportFetController.java:186"
"Emploi Du temps des classes","استعمال الزمن للاقسام",,"java\com\emploi\temps\web\DossierImportFetController.java:125"
"Emploi Du temps des eleves par Jour","استعمال الزمن الاجمالي للاقسام حسب الايام",,"java\com\emploi\temps\web\DossierImportFetController.java:171"
"Emploi du Temps Service",,,"resources\domains\StudentDossier.xml:8"
"Emploi du temps","استعمال الزمن",,"resources\domains\RoomDossier.xml:8
resources\views\Menu.xml:8"
"En cours du importation","في طور الاستيراد",,"resources\views\DossierImportFet.xml:179"
"Erreur","خطأ",,"resources\domains\DossierImportFet.xml:25"
"Erreur du importation","خطأ اثناء الاستيراد",,"resources\views\DossierImportFet.xml:181"
"Etablissement","المؤسسة",,"resources\domains\ActivityResulteFet.xml:19
resources\domains\DayFet.xml:13
resources\domains\DayHourFet.xml:16
resources\domains\DossierImportFet.xml:30
resources\domains\HourFet.xml:13
resources\domains\ResultatFet.xml:16
resources\domains\RoomDossier.xml:13
resources\domains\RoomFet.xml:13
resources\domains\StudentDossier.xml:19
resources\domains\StudentFet.xml:12
resources\domains\SubjectFet.xml:12
resources\domains\TeacherDossier.xml:14
resources\domains\TeacherFet.xml:13"
"File","الملف",,"resources\views\ResultatFet.xml:32"
"Fin du importation","انتهاء الاستيراد",,"resources\views\DossierImportFet.xml:180"
"H",,,"java\com\emploi\temps\service\ExportEmpoiExcel.java:152
java\com\emploi\temps\service\ExportEmpoiExcel.java:156"
"Heur","الساعة",,"resources\domains\ActivityResulteFet.xml:11"
"Historiques",,,"resources\views\ResultatFet.xml:43"
"Import",,,"resources\views\ResultatFet.xml:36"
"Import-Salles(%)","استيراد-القاعات(%)",,"resources\domains\DossierImportFet.xml:23"
"Import-Temps(%)","استيراد-الزمن(%)",,"resources\domains\DossierImportFet.xml:22"
"Importer Résultats FET","استيراد نتائج FET",,"resources\views\Menu.xml:10"
"Importer resulte/timetables  FET","استيراد resulte/timetables  FET",,"resources\views\ResultatFet.xml:30"
"Imprimer",,,"resources\views\DossierImportFet.xml:99"
"JEUDI","الخميس",,"java\com\emploi\temps\web\IReport.java:46"
"Jour","البوم",,"resources\domains\ActivityResulteFet.xml:10"
"LUNDI","الإثنين",,"java\com\emploi\temps\web\IReport.java:43"
"List des activities","لائحة الانشطة",,"resources\views\ActivityResulteFet.xml:7"
"List-Classes","لائحة الاقسام",,"resources\views\ResultatFet.xml:77"
"List-Jours-heur","لائحة اليوم-الحصة",,"resources\views\ResultatFet.xml:47"
"List-Matieres","لائحة المواد",,"resources\views\ResultatFet.xml:65"
"List-Professeurs","لائحة المدرسين",,"resources\views\ResultatFet.xml:71"
"List-Salles","لائحة القاعات",,"resources\views\ResultatFet.xml:59"
"Liste des Matieres","لاءحة المواد",,"resources\views\SubjectFet.xml:7"
"Liste des classes","لائحة الاقسام",,"resources\views\StudentDossier.xml:7
resources\views\StudentFet.xml:7"
"Liste des dossiers","لائحة الملفات",,"resources\views\DossierImportFet.xml:8"
"Liste des heurs","لائحة الايام",,"resources\views\DayHourFet.xml:7
resources\views\HourFet.xml:7"
"Liste des jours","لائحة الايام",,"resources\views\DayFet.xml:7"
"Liste des profs","لائحة المدرسين",,"resources\views\RoomDossier.xml:7
resources\views\TeacherDossier.xml:7
resources\views\TeacherFet.xml:7"
"Liste des salles","لائحة القاعات",,"resources\views\RoomFet.xml:7"
"Liste dossiers","لائحة الملفات",,"resources\views\ResultatFet.xml:7"
"Log",,,"resources\views\ResultatFet.xml:34"
"MARDI","الثلاثاء",,"java\com\emploi\temps\web\IReport.java:44"
"MERCREDI","الأربعاء",,"java\com\emploi\temps\web\IReport.java:45"
"Matin","الفترة الصباحية",,"java\com\emploi\temps\service\DossierImportFetService.java:366
java\com\emploi\temps\service\DossierImportFetService.java:66
java\com\emploi\temps\service\ExportEmpoiExcel.java:217"
"Modifier table service",,,"resources\views\DossierImportFet.xml:121"
"Name",,,"resources\domains\DossierImportFet.xml:8
resources\domains\ResultatFet.xml:8"
