"key","message","comment","context"
"2eme class",,,"resources\domains\ActivityResulteFet.xml:14"
"2eme prof",,,"resources\domains\ActivityResulteFet.xml:17"
"Activity resultes fet",,,"resources\domains\DossierImportFet.xml:27"
"Aperçu",,,"resources\views\DossierImportFet.xml:37
resources\views\DossierImportFet.xml:70
resources\views\DossierImportFet.xml:71
resources\views\DossierImportFet.xml:9"
"Aperçu des tables",,,"resources\views\DossierImportFet.xml:184
resources\views\DossierImportFet.xml:195"
"Apres-midi","Après-midi",,"java\com\emploi\temps\service\DossierImportFetService.java:373
java\com\emploi\temps\service\DossierImportFetService.java:73
java\com\emploi\temps\service\ExportEmpoiExcel.java:226"
"Choisissez un fichier au format fet",,,"java\com\emploi\temps\service\ResultaFetService.java:51"
"Classes Fet",,,"resources\domains\ResultatFet.xml:15"
"Created by",,,"resources\domains\ActivityResulteFet.xml:26
resources\domains\DayFet.xml:20
resources\domains\DayHourFet.xml:23
resources\domains\DossierImportFet.xml:37
resources\domains\HourFet.xml:20
resources\domains\ResultatFet.xml:23
resources\domains\RoomDossier.xml:20
resources\domains\RoomFet.xml:20
resources\domains\StudentDossier.xml:26
resources\domains\StudentFet.xml:19
resources\domains\SubjectFet.xml:19
resources\domains\TeacherDossier.xml:21
resources\domains\TeacherFet.xml:20"
"DIMANCHE",,,"java\com\emploi\temps\web\IReport.java:42"
"Dossier import fet",,,"resources\domains\ActivityResulteFet.xml:18
resources\domains\DayFet.xml:12
resources\domains\HourFet.xml:12
resources\domains\RoomDossier.xml:11
resources\domains\StudentDossier.xml:18
resources\domains\TeacherDossier.xml:12"
"DossierImportFet",,,"resources\views\DossierImportFet.xml:147
resources\views\ResultatFet.xml:40"
"Dossiers Fet",,,"resources\domains\ResultatFet.xml:14"
"Doti",,,"resources\domains\TeacherFet.xml:10"
"Détails",,,"resources\views\DossierImportFet.xml:114
resources\views\DossierImportFet.xml:34"
"EXCEL",,,"resources\views\DossierImportFet.xml:156"
"Emploi Du Temps de toutes les classes",,,"java\com\emploi\temps\web\IReport.java:53"
"Emploi Du Temps de toutes les professeurs",,,"java\com\emploi\temps\web\IReport.java:55"
"Emploi Du Temps de toutes les salles",,,"java\com\emploi\temps\web\IReport.java:51"
"Emploi Du temps des Salles",,,"java\com\emploi\temps\web\DossierImportFetController.java:148"
"Emploi Du temps des Salles par Jour",,,"java\com\emploi\temps\web\DossierImportFetController.java:186"
"Emploi Du temps des classes",,,"java\com\emploi\temps\web\DossierImportFetController.java:125"
"Emploi Du temps des eleves par Jour",,,"java\com\emploi\temps\web\DossierImportFetController.java:171"
"Emploi du Temps Service",,,"resources\domains\StudentDossier.xml:8"
"Emploi du temps",,,"resources\domains\RoomDossier.xml:8
resources\views\Menu.xml:8"
"En cours du importation",,,"resources\views\DossierImportFet.xml:179"
"Erreur",,,"resources\domains\DossierImportFet.xml:25"
"Erreur du importation",,,"resources\views\DossierImportFet.xml:181"
"Etablissement",,,"resources\domains\ActivityResulteFet.xml:19
resources\domains\DayFet.xml:13
resources\domains\DayHourFet.xml:16
resources\domains\DossierImportFet.xml:30
resources\domains\HourFet.xml:13
resources\domains\ResultatFet.xml:16
resources\domains\RoomDossier.xml:13
resources\domains\RoomFet.xml:13
resources\domains\StudentDossier.xml:19
resources\domains\StudentFet.xml:12
resources\domains\SubjectFet.xml:12
resources\domains\TeacherDossier.xml:14
resources\domains\TeacherFet.xml:13"
"File",,,"resources\views\ResultatFet.xml:32"
"Fin du importation",,,"resources\views\DossierImportFet.xml:180"
"H",,,"java\com\emploi\temps\service\ExportEmpoiExcel.java:152
java\com\emploi\temps\service\ExportEmpoiExcel.java:156"
"Heur",,,"resources\domains\ActivityResulteFet.xml:11"
