code;name;namear;language;key
01;SOURIS;;ar;value:SOURIS
02;ECRAN DE PROJECTION;;ar;value:ECRAN DE PROJECTION
03;ORDINATEUR DE BUREAU;;ar;value:ORDINATEUR DE BUREAU
04;ECRAN ORDINATEUR;;ar;value:ECRAN ORDINATEUR
05;IMPRIMANTE;;ar;value:IMPRIMANTE
06;PHOTOCOPIEUR NUMERIQUE;;ar;value:PHOTOCOPIEUR NUMERIQUE
07;VIDEO PROJECTEUR;;ar;value:VIDEO PROJECTEUR
08;ONDULEUR;;ar;value:ONDULEUR
09;ROUTEUR;;ar;value:ROUTEUR
10;VALISE MULTIMEDIA MOBILE;;ar;value:VALISE MULTIMEDIA MOBILE
11;CLAVIER;;ar;value:CLAVIER
12;SCANNER;;ar;value:SCANNER
13;PAIRE DE HAUT PARLEUR;;ar;value:PAIRE DE HAUT PARLEUR
14;COPIEUR MULTIFONCTION;;ar;value:COPIEUR MULTIFONCTION
15;MEUBLE CENTRAL SERVEUR;;ar;value:MEUBLE CENTRAL SERVEUR
16;MEUBLE CENTRAL ARMOIR;;ar;value:MEUBLE CENTRAL ARMOIR
17;Console pédagogique multimédia;;ar;value:Console pédagogique multimédia
18;Rallange 3p;;ar;value:Rallange 3p
19;Rallange  6p;;ar;value:Rallange  6p
20;Modèm internet fixe;;ar;value:Modèm internet fixe
21;LABORATOIRE MULTIMEDIA;;ar;value:LABORATOIRE MULTIMEDIA
22;ECRAN DE PROJECTION AVEC TREPIED;;ar;value:ECRAN DE PROJECTION AVEC TREPIED
23;ECRAN DE PROJECTION MURAL;;ar;value:ECRAN DE PROJECTION MURAL
