code;permissions
etablissementAdmin;perm.hakibati.gestion.eleves.Absence.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.AbsenceeleveInternat.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.AffectationEnseignant.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.AnneScolaire.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Article.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Avisabsence.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Cahierjournalier.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Classe.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.AbsenceeleveInternat.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Convocationtuteur.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Eleve.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.EleveInternat.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Enseignant.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Fournisseur.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Gestioneleves.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.MatiereEleve.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.MenuHebdomadaire.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.Niveau.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.NotesEleve.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.OperationJournalier.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.PersonnesnourriesJournalier.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.PieceJointEleve.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.PieceJointEleveInternat.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.RapportjournalierInternat.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.SuiviMedical.select.etab.rwcde
etablissementAdmin;perm.hakibati.gestion.eleves.TypeArticle.select.etab.rwcde

demo;perm.hakibati.gestion.eleves.Absence.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.AnneScolaire.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Avisabsence.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Classe.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.AbsenceeleveInternat.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Convocationtuteur.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Eleve.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.EleveInternat.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Gestioneleves.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.Niveau.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.PieceJointEleve.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.PieceJointEleveInternat.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.RapportjournalierInternat.select.etab.rwcde
demo;perm.hakibati.gestion.eleves.SuiviMedical.select.etab.rwcde

