"key","message","comment","context"
"1ere contrôle","المراقبة 1",,"resources\views\NotesEleve.xml:39"
"1ere semestre","الدورة الاولى",,"resources\views\NotesEleve.xml:34"
"2eme contrôle","المراقبة 2",,"resources\views\NotesEleve.xml:40"
"2eme semestre","الدورة الثانية",,"resources\views\NotesEleve.xml:35"
"3eme contrôle","المراقبة 3",,"resources\views\NotesEleve.xml:41"
"4eme contrôle","المراقبة 4",,"resources\views\NotesEleve.xml:42"
"A server error occurred. Please contact the administrator.",,,"java\com\gestion\eleves\web\ImportExDataMassarController.java:133
java\com\gestion\eleves\web\ImportExDataMassarController.java:41"
"ARTICLE",,,"resources\views\CahierJournalier.xml:61"
"AU","إلـــى",,"resources\views\CahierJournalier.xml:63
resources\views\CahierJournalier.xml:68"
"Abandonné","انقطاع",,"resources\views\Eleve.xml:278
resources\views\EleveInternat.xml:163"
"Abandonnأ©",,,"java\com\gestion\eleves\service\EleveInternatService.java:313"
"Absence","الغياب",,"resources\views\Absence.xml:11
resources\views\Absence.xml:7
resources\views\AbsenceeleveInternat.xml:17
resources\views\AbsenceeleveInternat.xml:29
resources\views\AbsenceeleveInternat.xml:43
resources\views\AbsenceeleveInternat.xml:7
resources\views\Eleve.xml:135
resources\views\RapportjournalierInternat.xml:12
resources\views\RapportjournalierInternat.xml:7"
"Absence collective","مسك الغياب",,"resources\views\Gestioneleves.xml:423"
"Absence eleves","غياب التلاميذ",,"resources\views\ImportExDataMassar.xml:75"
"Absenceeleve internat","تغيبات تلاميذ الداخلية",,"resources\domains\EleveInternat.xml:57"
"Activités intégrées","الانشطة",,"resources\views\NotesEleve.xml:43"
"Address","العنوان",,"resources\domains\Fournisseur.xml:9"
"Adresse Reporter","عنوان المراسل",,"java\com\gestion\eleves\service\EleveInternatService.java:175
resources\domains\EleveInternat.xml:51"
"Adresse Tuteur","عنوان الولي",,"java\com\gestion\eleves\service\EleveInternatService.java:157"
"Adresse mere","عنوان الام",,"resources\domains\Eleve.xml:61"
"Adresse pere","عنوان الاب",,"resources\domains\Eleve.xml:53"
"Adresse tuteur","عنوان الولي",,"resources\domains\Eleve.xml:45
resources\domains\EleveInternat.xml:43"
"Affect profs","توزيع الاساتدة",,"resources\views\ImportExDataMassar.xml:71"
"Affectation enseignant","توزرع الاساتذة",,"resources\domains\Classe.xml:14
resources\domains\Enseignant.xml:13"
"Affectation enseignants","توزيع الاساتدة",,"resources\domains\Gestioneleves.xml:18"
"AffectationEnseignant","توزيع الاساتذة",,"resources\views\AffectationEnseignant.xml:14
resources\views\AffectationEnseignant.xml:7"
"Afficher uniquement  les élèves exerce","عرض المزاولين فقط",,"resources\views\Gestioneleves.xml:47"
"Agents domestiques",,,"resources\views\PersonnesnourriesJournalier.xml:28"
"Ajouter ou modifier","إضافة أو تعديل",,"resources\views\Absence.xml:12
resources\views\AbsenceeleveInternat.xml:30
resources\views\AbsenceeleveInternat.xml:44
resources\views\AffectationEnseignant.xml:15
resources\views\AnneScolaire.xml:16
resources\views\Article.xml:21
resources\views\Classe.xml:17
resources\views\Enseignant.xml:16
resources\views\Fournisseur.xml:14
resources\views\MatiereEleve.xml:14
resources\views\MenuHebdomadaire.xml:19
resources\views\Niveau.xml:17
resources\views\NotesEleve.xml:21
resources\views\OperationJournalier.xml:17
resources\views\PersonnesnourriesJournalier.xml:16
resources\views\RapportjournalierInternat.xml:13
resources\views\TypeArticle.xml:15"
"Anne Scolaire","الموسم الدراسي",,"resources\views\AnneScolaire.xml:15
resources\views\AnneScolaire.xml:7"
"Anne scolaire","الموسم الدراسي",,"resources\domains\Gestioneleves.xml:14"
"Annee max","العام الثاني",,"resources\domains\AnneScolaire.xml:10"
"Annee min","العام الاول",,"resources\domains\AnneScolaire.xml:11"
"Année scolaire","الموسم الدراسي",,"resources\domains\Eleve.xml:35
resources\domains\EleveInternat.xml:35
resources\domains\Gestioneleves.xml:8
resources\domains\Niveau.xml:15
resources\views\Gestioneleves.xml:216
resources\views\Gestioneleves.xml:242"
"Années Scolaire","المواسم الدراسية",,"resources\views\Gestioneleves.xml:323"
"Archive","الارشيف",,"resources\domains\Eleve.xml:8"
"Archived","ارشفة",,"resources\views\Eleve.xml:18
resources\views\EleveInternat.xml:16"
"Arrivée","وافد",,"resources\views\EleveInternat.xml:155"
"Article",,,"java\com\gestion\eleves\service\ArticleService.java:81
resources\domains\OperationJournalier.xml:16
resources\views\Article.xml:20
resources\views\Article.xml:7
resources\views\Menu.xml:140
resources\views\Menu.xml:142"
"Au","إلـــى",,"resources\domains\MenuHebdomadaire.xml:9"
"Avisabsences","اشعار بالغياب",,"resources\domains\Eleve.xml:92"
"CAHIER JOURNALIER","السجل اليومي",,"resources\views\CahierJournalier.xml:66"
"CD",,,"resources\domains\Enseignant.xml:8
resources\domains\MatiereEleve.xml:8"
"CIN Mère","CIN الام",,"resources\domains\Eleve.xml:54"
"CIN Père","CIN الاب",,"resources\domains\Eleve.xml:46"
"CIN Reporter","CIN المراسل",,"java\com\gestion\eleves\service\EleveInternatService.java:160
resources\domains\EleveInternat.xml:46"
"CIN Tuteur","CIN الوصي",,"java\com\gestion\eleves\service\EleveInternatService.java:142
resources\domains\Eleve.xml:38
resources\domains\EleveInternat.xml:38"
"CNSS",,,"resources\domains\Fournisseur.xml:12"
"COMPTABILITE MATIERE",,,"resources\views\CahierJournalier.xml:59"
"Cahier Journalier",,,"resources\views\CahierJournalier.xml:13"
"Cahier Journalière",,,"resources\views\Menu.xml:100"
"CahierJournalier",,,"resources\views\CahierJournalier.xml:6"
"Cahierjournalier",,,"resources\domains\OperationJournalier.xml:17
resources\domains\PersonnesnourriesJournalier.xml:13"
"Choisissez un fichier au format xls","اختر الملف بصيغة  xls",,"java\com\gestion\eleves\service\EleveService.java:48"
"Choisissez un fichier au format xlsx","اختر الملف بصيغة xls",,"java\com\gestion\eleves\service\ArticleService.java:158
java\com\gestion\eleves\service\EleveInternatService.java:403
java\com\gestion\eleves\service\EleveService.java:386"
"Classe","القسم",,"resources\domains\AffectationEnseignant.xml:9
resources\domains\Eleve.xml:24
resources\domains\EleveInternat.xml:21
resources\domains\NotesEleve.xml:10
resources\views\Classe.xml:16
resources\views\Gestioneleves.xml:128
resources\views\Gestioneleves.xml:23
resources\views\Gestioneleves.xml:89"
"Classes","الاقسام",,"resources\domains\Gestioneleves.xml:13
resources\views\Classe.xml:7
resources\views\Gestioneleves.xml:320"
"Cntrole","المراقبة المستمرة",,"resources\views\Gestioneleves.xml:98"
"Code",,,"resources\domains\Niveau.xml:13
resources\views\Niveau.xml:12"
"Coefficient","المعامل",,"resources\domains\NotesEleve.xml:9"
"Comptabilité Internat",,,"resources\views\Menu.xml:98"
"Connection","اتصال",,"resources\views\Gestioneleves.xml:200"
"Consommation","استهلاك",,"resources\views\CahierJournalier.xml:16"
"ControlContinu","المراقبة المستمرة",,"resources\domains\NotesEleve.xml:11"
"Contunue","استمرار",,"resources\views\Gestioneleves.xml:191"
"Convocationtuteurs","استدعتء الولي",,"resources\domains\Eleve.xml:94"
"Created by","انشاء من طرف",,"resources\domains\Absence.xml:29
resources\domains\AbsenceeleveInternat.xml:24
resources\domains\AffectationEnseignant.xml:20
resources\domains\AnneScolaire.xml:21
resources\domains\Article.xml:21
resources\domains\Avisabsence.xml:18
resources\domains\Cahierjournalier.xml:27
resources\domains\Classe.xml:23
resources\domains\Convocationtuteur.xml:19
resources\domains\Eleve.xml:109
resources\domains\EleveInternat.xml:68
resources\domains\Enseignant.xml:22
resources\domains\Fournisseur.xml:22
resources\domains\Gestioneleves.xml:28
resources\domains\MatiereEleve.xml:19
resources\domains\MenuHebdomadaire.xml:52
resources\domains\Niveau.xml:24
resources\domains\NotesEleve.xml:26
resources\domains\OperationJournalier.xml:25
resources\domains\PersonnesnourriesJournalier.xml:21
resources\domains\PieceJointEleve.xml:19
resources\domains\PieceJointEleveInternat.xml:19
resources\domains\RapportjournalierInternat.xml:18
resources\domains\SuiviMedical.xml:18
resources\domains\TypeArticle.xml:19"
"DU","مـــن",,"resources\views\CahierJournalier.xml:62
resources\views\CahierJournalier.xml:67"
"Date","التاريخ",,"resources\domains\Cahierjournalier.xml:8
resources\domains\RapportjournalierInternat.xml:8"
"Date  situation actuelle","تاريخ الوضعية الحالية",,"resources\domains\Eleve.xml:33"
"Date D'absence","تاريخ التغيب",,"resources\views\Gestioneleves.xml:426"
"Date arrivee","تاريخ الوافد",,"resources\domains\Eleve.xml:65"
"Date avis","تاريخ الاشعار",,"resources\domains\Avisabsence.xml:10"
"Date convocation","تاريخ الدعوة",,"resources\domains\Convocationtuteur.xml:10"
"Date d'absence","تاريخ العياب",,"resources\domains\Absence.xml:9
resources\domains\AbsenceeleveInternat.xml:9"
"Date de Bourse","تاريخ المنحة",,"java\com\gestion\eleves\service\EleveInternatService.java:121
resources\domains\EleveInternat.xml:25"
"Date de naissance","تاريخ الازدياذ",,"java\com\gestion\eleves\service\EleveInternatService.java:84
resources\domains\Eleve.xml:13
resources\domains\EleveInternat.xml:12"
"Date de situation Depart","تاريخ وضعية الولوج",,"resources\domains\Eleve.xml:29"
"Date demand quittant","تاريخ الطلب",,"resources\domains\Eleve.xml:87"
"Date env demand quittant","تاريخ الارسال",,"resources\domains\Eleve.xml:89"
"Date quittant","تاريخ المغادرة",,"resources\domains\Eleve.xml:84"
"Date situation","تاريخ الوضعية",,"java\com\gestion\eleves\service\EleveInternatService.java:133
resources\domains\EleveInternat.xml:31"
"Datesuivimedical","تاريخ التتبع الطبي",,"resources\domains\SuiviMedical.xml:10"
"Day of week",,,"resources\domains\Cahierjournalier.xml:9"
"Demande de dossier","طلب الملف",,"resources\views\Eleve.xml:85"
"Demi-Pensionnaires","وجبة غداء",,"resources\views\PersonnesnourriesJournalier.xml:26"
"Dimanche","الأحد",,"resources\views\CahierJournalier.xml:93"
"Diner","العشاء",,"resources\domains\OperationJournalier.xml:10
resources\domains\PersonnesnourriesJournalier.xml:10"
"Direction de réception","تاريخ الاستقبال",,"resources\domains\Eleve.xml:83"
"Direction origine","المديرية الاصلية",,"resources\domains\Eleve.xml:64"
"Distribution Des groupes","توزيع الافواج",,"resources\views\Menu.xml:28"
"Données des élèves","بيانات التلاميذ",,"resources\views\Gestioneleves.xml:10
resources\views\Gestioneleves.xml:143
resources\views\Gestioneleves.xml:155
resources\views\Gestioneleves.xml:170
resources\views\Gestioneleves.xml:76
resources\views\Menu.xml:15
resources\views\Menu.xml:55"
"Du","مـــن",,"resources\domains\MenuHebdomadaire.xml:8"
"Déjeuner","الفطور",,"resources\domains\AbsenceeleveInternat.xml:13
resources\domains\Cahierjournalier.xml:16
resources\domains\OperationJournalier.xml:9
resources\domains\PersonnesnourriesJournalier.xml:9"
"Départ","الانطلاق",,"resources\views\Eleve.xml:268"
"Désignation","الوصف",,"resources\domains\PieceJointEleve.xml:8
resources\domains\PieceJointEleveInternat.xml:8"
"Dîner","العشاء",,"resources\domains\AbsenceeleveInternat.xml:15
resources\domains\Cahierjournalier.xml:17"
"EXCEL",,,"resources\views\Gestioneleves.xml:670"
"Eleve","التلميذ",,"resources\domains\Absence.xml:8
resources\domains\Avisabsence.xml:8
resources\domains\Convocationtuteur.xml:9
resources\domains\NotesEleve.xml:13
resources\domains\PieceJointEleve.xml:10
resources\domains\SuiviMedical.xml:8"
"Eleve internat","تلميذ الداخلية",,"resources\domains\AbsenceeleveInternat.xml:8
resources\domains\PieceJointEleveInternat.xml:10"
"Eleves","التلاميذ",,"resources\domains\Gestioneleves.xml:9"
"Eleves internat","تلاميذ الداخلية",,"resources\domains\Gestioneleves.xml:10"
"Elèves Archive","الارشيف",,"resources\views\Menu.xml:46"
"Email",,,"resources\domains\Fournisseur.xml:13"
"Enseignant","المدرس",,"resources\domains\AffectationEnseignant.xml:8
resources\views\Enseignant.xml:15"
"Enseignants","المدرسون",,"resources\domains\Gestioneleves.xml:17
resources\views\Enseignant.xml:7
resources\views\Gestioneleves.xml:329"
"Entrée du jour",,,"resources\domains\OperationJournalier.xml:15"
"Envoyer le dossier","ارسال الملف",,"resources\views\Eleve.xml:96"
"Erreur de lecture du fichier","خظأ عند قراءة الملف",,"java\com\gestion\eleves\service\ArticleService.java:160
java\com\gestion\eleves\service\ArticleService.java:167
java\com\gestion\eleves\service\EleveInternatService.java:405
java\com\gestion\eleves\service\EleveInternatService.java:412
java\com\gestion\eleves\service\EleveService.java:390
java\com\gestion\eleves\service\EleveService.java:401"
"Etablissement","المؤسسة",,"resources\domains\Absence.xml:22
resources\domains\AbsenceeleveInternat.xml:17
resources\domains\AffectationEnseignant.xml:13
resources\domains\AnneScolaire.xml:14
resources\domains\Article.xml:14
resources\domains\Avisabsence.xml:11
resources\domains\Cahierjournalier.xml:20
resources\domains\Classe.xml:16
resources\domains\Convocationtuteur.xml:12
resources\domains\Eleve.xml:102
resources\domains\EleveInternat.xml:61
resources\domains\Enseignant.xml:15
resources\domains\Fournisseur.xml:15
resources\domains\Gestioneleves.xml:21
resources\domains\MatiereEleve.xml:12
resources\domains\MenuHebdomadaire.xml:45
resources\domains\Niveau.xml:17
resources\domains\NotesEleve.xml:19
resources\domains\OperationJournalier.xml:18
resources\domains\PersonnesnourriesJournalier.xml:14
resources\domains\PieceJointEleve.xml:12
resources\domains\PieceJointEleveInternat.xml:12
resources\domains\RapportjournalierInternat.xml:11
resources\domains\SuiviMedical.xml:11
resources\domains\TypeArticle.xml:12"
"Etablissement de réception","مؤسسة الاستقبال",,"resources\domains\Eleve.xml:82"
"Etablissement origine","مؤسسة الاصلية",,"resources\domains\Eleve.xml:63"
"Etablissementetudie","المؤسسة المدرس بها",,"resources\domains\EleveInternat.xml:20"
"Exclus","الفصل",,"java\com\gestion\eleves\service\EleveInternatService.java:315
resources\views\Eleve.xml:280
resources\views\EleveInternat.xml:165"
"Exerce","متمدرس",,"java\com\gestion\eleves\service\EleveInternatService.java:311
resources\views\Eleve.xml:276
resources\views\EleveInternat.xml:161"
"Exerce?","مزاول ؟",,"resources\domains\Article.xml:12"
"Export","تصدير",,"resources\views\Article.xml:37
resources\views\Gestioneleves.xml:253
resources\views\Gestioneleves.xml:267"
"Export la Liste des eleves (ARCHIVE)","تصدير لائحة تلاميذ الارشيف",,"resources\views\Gestioneleves.xml:265"
"Export la Liste des eleves (INTERNAT)","تصدير لائحة التلاميذ الداخليين",,"resources\views\Gestioneleves.xml:251"
"Export la liste des Articles",,,"resources\views\Article.xml:35"
"Export/ Import","تصدير/استيراد",,"resources\views\Gestioneleves.xml:161"
"Fax",,,"resources\domains\Fournisseur.xml:11"
"Feuille d'absences demi-hebdomadaire 1/2","لائحة ورقة الغياب نصف الاسبوعبة(1/2)",,"resources\views\Gestioneleves.xml:687"
"Feuille d'absences demi-hebdomadaire 2/2","لائحة ورقة الغياب نصف الاسبوعبة(2/2)",,"resources\views\Gestioneleves.xml:688"
"Fiches élèves","ملفات التلاميذ",,"resources\views\Menu.xml:6"
"Fiches élèves Internat","ملفات تلاميذ الداخلية",,"resources\views\Menu.xml:52"
"Fille","أنثى",,"java\com\gestion\eleves\service\EleveInternatService.java:271
resources\views\Eleve.xml:284"
"Fonction Reporter","مهنة المراسل",,"java\com\gestion\eleves\service\EleveInternatService.java:169
resources\domains\EleveInternat.xml:49"
"Fonction mere","مهنة الام",,"resources\domains\Eleve.xml:59"
"Fonction pere","مهنة الاب",,"resources\domains\Eleve.xml:51"
"Fonction tuteur","مهنة الوصي",,"resources\domains\Eleve.xml:43
resources\domains\EleveInternat.xml:41"
"Fournisseur","المزود",,"resources\domains\TypeArticle.xml:11
resources\views\Fournisseur.xml:13
resources\views\Fournisseur.xml:7"
"Fournisseurs","المزودون",,"resources\views\Menu.xml:125
resources\views\Menu.xml:127"
"Garçon","ذكر",,"resources\views\Eleve.xml:283"
"Garأ§on",,,"java\com\gestion\eleves\service\EleveInternatService.java:270"
"Genre","الجنس",,"java\com\gestion\eleves\service\EleveInternatService.java:103
resources\domains\Eleve.xml:20
resources\domains\EleveInternat.xml:18"
"Gestion des  eleves archive","تدبير ملفات الارشيف",,"resources\views\Gestioneleves.xml:145"
"Gestion des fichiers eleves internat","تدبير ملفات تلاميذ الداخلية",,"resources\views\Gestioneleves.xml:157"
"Gestion des fichiers eleves internat ARCHIVE","تدبير ملفات ارشيف الداخلية",,"resources\views\Gestioneleves.xml:172"
"Gestioneleves","تدبير التلاميذ",,"resources\domains\AffectationEnseignant.xml:12
resources\domains\AnneScolaire.xml:13
resources\domains\Classe.xml:15
resources\domains\Eleve.xml:101
resources\domains\EleveInternat.xml:59
resources\domains\Enseignant.xml:14
resources\domains\MatiereEleve.xml:11
resources\domains\Niveau.xml:16
resources\domains\NotesEleve.xml:18"
"Gresa","Gresa",,"resources\views\Gestioneleves.xml:206"
"Groupe","الفوج",,"resources\domains\Eleve.xml:19"
"Groupe 1","الفوج 1",,"resources\views\Eleve.xml:293"
"Groupe 2","الفوج 2",,"resources\views\Eleve.xml:294"
"Génération Groupe","توليد الافواج",,"resources\views\Gestioneleves.xml:134"
"Id annee","رقم الموسم الدراسي",,"resources\domains\AnneScolaire.xml:12"
"Id classe","رقم القسم",,"resources\domains\Classe.xml:10"
"Import","استيراد",,"resources\views\Article.xml:44
resources\views\Gestioneleves.xml:107
resources\views\Gestioneleves.xml:227
resources\views\Gestioneleves.xml:236
resources\views\Gestioneleves.xml:260
resources\views\Gestioneleves.xml:274
resources\views\Gestioneleves.xml:387
resources\views\Gestioneleves.xml:399
resources\views\Gestioneleves.xml:410
resources\views\Gestioneleves.xml:67"
"Import et Export Article Internat",,,"resources\views\Article.xml:30"
"Import et Export les Liste (ARCHIVE)","تصدير واستيراد لوائح الارشيف",,"resources\views\Gestioneleves.xml:264"
"Import et Export les Liste (INTERNAT)","تصدير واستيراد لوائح الداخليين",,"resources\views\Gestioneleves.xml:250"
"Import les eleves","استيراد لائحة التلاميذ",,"resources\views\Gestioneleves.xml:182
resources\views\Gestioneleves.xml:315"
"Import/Export","تصدير/ استيراد",,"resources\views\Article.xml:10
resources\views\Article.xml:48"
"Importation terminأ©e avec succأ¨s :",,,"java\com\gestion\eleves\web\ImportExDataMassarController.java:700"
"Importer des données directes dans massar","استيراد البيانات مباشرة من مسار",,"resources\views\Gestioneleves.xml:183"
"Importer la Liste des eleves (MASSAR) arabe ou français","استيراد لائحة التلاميذ (مسار) عربية او فرنسية",,"resources\views\Gestioneleves.xml:221"
"Importer la liste des Articles",,,"resources\views\Article.xml:39"
"Importer la liste des eleves (ARCHIVE)","استيراح لائحة تلاميذ الارشيف",,"resources\views\Gestioneleves.xml:269"
"Importer la liste des eleves (INTERNAT)","استيراد لائحة تلاميذ الداخلية",,"resources\views\Gestioneleves.xml:255"
"Importer la liste tuteur (MASSAR) arabe","استيراد لائحة الولي (مسار) عربية",,"resources\views\Gestioneleves.xml:232"
"Importez les données suivantes","استيراد البيانات التالية ",,"resources\views\Gestioneleves.xml:211"
"Imprime","طبع",,"resources\views\CahierJournalier.xml:22
resources\views\CahierJournalier.xml:50
resources\views\CahierJournalier.xml:9
resources\views\Menu.xml:118
resources\views\MenuHebdomadaire.xml:14
resources\views\MenuHebdomadaire.xml:25"
"Imprimer","طبع",,"resources\views\CahierJournalier.xml:57
resources\views\CahierJournalier.xml:64
resources\views\CahierJournalier.xml:69"
"Imprimés","الطباعة",,"resources\views\Menu.xml:116
resources\views\Menu.xml:34
resources\views\Menu.xml:80
resources\views\Menu.xml:82"
"Information d'un élève","معلومات التلميذ",,"resources\views\Eleve.xml:158
resources\views\Eleve.xml:46
resources\views\EleveInternat.xml:37"
"Information de Login Massar","معلومات مستخدم مسار",,"resources\views\Gestioneleves.xml:202"
"Information de Massar","معلومات مسار",,"resources\views\Gestioneleves.xml:194"
"Infractions","المخالفات",,"resources\views\EleveInternat.xml:106"
"Investir les résultats : evaluations","استثمار نتائج الفروض",,"resources\views\Gestioneleves.xml:701"
"Is massar","من مسار",,"resources\domains\AnneScolaire.xml:9
resources\domains\Classe.xml:13
resources\domains\Eleve.xml:9
resources\domains\EleveInternat.xml:9
resources\domains\Niveau.xml:11"
"Jeudi","الخميس",,"resources\views\CahierJournalier.xml:97"
"Jourcomplet","اليوم بالكامل",,"resources\domains\Absence.xml:10"
"Justifie","مبرر",,"resources\domains\Absence.xml:11"
"L'année scolaire","الموسم الدراسي",,"resources\domains\Classe.xml:12"
"L'année scolaire arrive","الموسم الدراسي",,"resources\domains\Eleve.xml:67"
"L'annأ©e scolaire",,,"java\com\gestion\eleves\service\EleveInternatService.java:139"
"L'opأ©ration a rأ©ussi",,,"java\com\gestion\eleves\web\GestionelevesController.java:186"
"L'ordre max de 1er Groupe","الرقم الاقصى للفوج 1",,"resources\views\Gestioneleves.xml:130"
"La liste des Article Internat a أ©tأ© importأ©e avec succأ¨s",,,"java\com\gestion\eleves\service\ArticleService.java:220"
"La liste des eleves Internat a أ©tأ© importأ©e avec succأ¨s",,,"java\com\gestion\eleves\service\EleveInternatService.java:547"
"La liste des elأ©ves a أ©tأ© importأ©e avec succأ¨s : nomber total mettre أ  jour est",,,"java\com\gestion\eleves\service\EleveService.java:374"
"La liste des tuteur a أ©tأ© importأ©e avec succأ¨s",,,"java\com\gestion\eleves\service\EleveService.java:465"
"La méthode utilisée pour communiquer avec MASSAR est le proxy d'interception de données, c'est une méthode sécurisée et vos informations ne peuvent pas être sauvegardées",,,"resources\views\Gestioneleves.xml:189"
