cd;nameFr;nameAr
"100001";"Professeurs de l'enseignement superieur";"أستاذ التعليم العالي"
"100002";"Maitre de conferences";"Maitre de conferences"
"100003";"Maitres assistants";"Maitres assistants"
"100004";"Assistants";"Assistants"
"100099";" ";" "
"100101";" ";" "
"100102";" ";" "
"100103";" ";" "
"100201";"Professeur de l'Enseignement Superieur";"أستاذ التعليم العالي"
"100202";"Professeur Habilite";"Professeur Habilite"
"100203";"Professeur Assistant";"استاد مساعد"
"100301";" ";" "
"100302";" ";" "
"100303";" ";" "
"110101";"Inspecteurs principaux";"مفتش رئيبيي"
"110102";"Inpecteurs de l'enseignement secondaire";"مفتش التعليم الثانوي"
"110103";"Inspecteur adjoint de l'enseignement du 1er degre";"مساعد مفتش من الدرجة الأولى"
"110104";"Inspecteurs de l'enseignement primaire";"مفتش التعليم الابتدائي"
"110201";"Professeurs du second cycle de l'enseignement secondaire";"أستاذ السلك الثاني للتعليم الثانوي"
"110202";"Professeurs du 1er cycle de l'enseignement secondaire";"أستاذ السلك الاول للتعليم الثانوي"
"110203";"Instituteurs";"Instituteurs"
"110204";"Regroupement de grades de conseiller et de moniteur";"Regroupement de grades de conseiller et de moniteur"
"110301";"Inspecteurs des services economiques";"Inspecteurs des services economiques"
"110302";"Intendants";"Intendants"
"110303";"Economes";"Economes"
"110304";"Adjoint des services economiques";"Adjoint des services economiques"
"110305";"Secretaires des services economiques";"Secretaires des services economiques"
"110401";"Inspecteurs en orientation et planification de l'education";"Inspecteurs en orientation et planification de l'education"
"110402";"Conseillers en orientation et planification de l'education";"Conseillers en orientation et planification de l'education"
"110403";"Cadre des adjoints en orientation et planification";"Cadre des adjoints en orientation et planification"
"110501";"Conservateurs des bibliotheques et archives";"Conservateurs des bibliotheques et archives"
"110502";"Conservateurs adjoints des bibliotheques et archives";"Conservateurs adjoints des bibliotheques et archives"
"110503";"Documentalistes de l'education nationale";"Documentalistes de l'education nationale"
"110599";" ";" "
"110601";"Surveillants d'externat et d'internat";"Surveillants d'externat et d'internat"
"110701";"Preparateurs des laboratoires scolaires et universitaires";"Preparateurs des laboratoires scolaires et universitaires"
"110801";"inspecteurs peda. Ens. primaire";"inspecteurs peda. Ens. primaire"
"110802";"inspecteurs peda. Ens. Secondaire collégial";"inspecteurs peda. Ens. Secondaire collégial"
"110803";"inspecteurs peda. Ens. Secondaire qualifiant";"inspecteurs peda. Ens. Secondaire qualifiant"
"110901";"Professeur de l enseig primaire";"أستاذ التعليم الابتدائي"
"110902";"Professeur de l enseig secondaire collegial";"أستاذ التعليم الثانوي الاعدادي"
"110903";"Professeur de l enseig secondaire qualif";"أستاذ التعليم الثانوي التأهيلي"
"110904";"PROFESSEUR AGREGE DE L'ENSEIG.SECONDAIRE QUALIF";"أستاذ مبرز للتعليم الثانوي التأهيلي"
"111001";"Intendant";"Intendant"
"111002";"INSPECTEUR DES SERVICES MATERIELS ET FINANCIERS";"INSPECTEUR DES SERVICES MATERIELS ET FINANCIERS"
"111101";"Conseiller en orientation de l'éducation";"Conseiller en orientation de l'éducation"
"111102";"Inspecteur en orientation de l'éducation";"Inspecteur en orientation de l'éducation"
"111103";"Conseiller en planification de l'éducation";"Conseiller en planification de l'éducation"
"111104";"Inspecteur en planification de l'éducation";"Inspecteur en planification de l'éducation"
"111201";"Attaché Pédagogique";"Attaché Pédagogique"
"111202";"ATTACHE D'ECONOMIE ET D'ADMINISTRATION";"ATTACHE D'ECONOMIE ET D'ADMINISTRATION"
"111203";"ATTACHE SOCIAL";"ATTACHE SOCIAL"
"111204";"ADMINISTRATEUR PEDAGOGIQUE";"متصرف تربوي"
"130301";"Corps de l'inspection generale des Finances";"Corps de l'inspection generale des Finances"
"980001";"Administrateurs";"Administrateurs"
"980002";"Administrateur adjoint";"Administrateur adjoint"
"980003";"Redacteurs";"Redacteurs"
"980004";"Secretaires";"Secretaires"
"980005";"Agents d'execution";"Agents d'execution"
"980006";"Agents de service";"Agents de service"
"980101";"Agents publics";"Agents publics"
"980201";"Chefs d'ateliers";"Chefs d'ateliers"
"980202";"Agents de maitrise";"Agents de maitrise"
"980203";"Agents specialises";"Agents specialises"
"980204";"Aides imprimeurs";"Aides imprimeurs"
"980205";"Agents de manutention";"Agents de manutention"
"980299";" ";" "
"990099";" ";" "
"990101";"Emploi superieur d'ingenieur General";"Emploi superieur d'ingenieur General"
"990102";"Ingenieur en chef";"Ingenieur en chef"
"990103";"Ingenieurs d'Etat";"Ingenieurs d'Etat"
"990104";"Ingenieurs d'application";"Ingenieurs d'application"
"990105";"Emploi superieur d'architecte general";"Emploi superieur d'architecte general"
"990106";"Architecte en chef";"Architecte en chef"
"990107";"Architectes";"Architectes"
"990201";"Analystes concepteurs";"Analystes concepteurs"
"990202";"Analystes";"Analystes"
"990203";"Programmeurs";"Programmeurs"
"990204";"Moniteur";"Moniteur"
"990205";"Operateurs";"Operateurs"
"990301";"Informatistes";"Informatistes"
"990400";"Regroupement des grades de techniciens";"Regroupement des grades de techniciens"
"990501";"Professeurs de l'enseignement superieur";"أستاذ التعليم العالي"
"990502";"Maitres de conference";"Maitres de conference"
"990503";"Maitres assistants";"Maitres assistants"
"990504";"Assistant";"Assistant"
"990601";"Membres de cabinet";"Membres de cabinet"
"990602";"Personnel de bureau";"Personnel de bureau"
"990603";"Personnel de maison";"Personnel de maison"
"990701";"Civilistes";"Civilistes"
"990702";"Agents a contrat";"Agents a contrat"
"990801";"Agents permanents";"Agents permanents"
"990901";"Cadre des inspecteurs de la formation professionnelle";"Cadre des inspecteurs de la formation professionnelle"
"990902";"Cadre des conseillers en orientation et en planification professionnelle";"Cadre des conseillers en orientation et en planification professionnelle"
"990903";"Cadre des professeurs";"Cadre des professeurs"
"990904";"Cadre des chefs de travaux";"Cadre des chefs de travaux"
"991001";"Professeurs de l'Enseignement Superieur";"Professeurs de l'Enseignement Superieur"
"991002";"Professeurs Habilites";"Professeurs Habilites"
"991003";"Professeurs Assistants";"Professeurs Assistants"
"991101";"MEDECIN";"MEDECIN"
"991102";"PHARMACIEN";"PHARMACIEN"
"991103";"CHURIGIEN DENTISTE";"CHURIGIEN DENTISTE"
"991201";"MEDECIN VETERINAIRE";"MEDECIN VETERINAIRE"
"991301";"ADMINISTRATEUR";"ADMINISTRATEUR"
"991302";"ADMINISTRATEUR";"ADMINISTRATEUR"
"991401";" ";" "
"991501";" ";" "
"991601";" ";" "
"991701";" ";" "
"991702";" ";" "
"991703";" ";" "
"991704";" ";" "
"991705";" ";" "
"991706";" ";" "
"999900";" ";" "
