cd;nameFr;nameAr
"9999";"SANS FONCTION";
"A001";"Adjoint au Directeur";"مدير مساعد"
"A002";"ADJOINT ECONOME";"مساعد مقتصد"
"A003";"AGENT DE SERVICE";"عون خدمة"
"A004";"AGENT D'EXECUTION";"عون تنفيد"
"A005";"AIDE CUISINIER";"مساعد طباخ"
"A006";"AIDE LINGERE";"مساعد منظف"
"A007";"ANALYSTE";"محلل"
"A008";"Analyste concepteur général";"محلل مخطط عام"
"A009";"ANIMATEUR D'EDUCATION PHYSIQUE";"منشط التربية البدنية"
"A010";"ANIMATEUR PEDAGOGIQUE";"منشط تربوي"
"A011";"Architecte général";"مهندس معماري عام"
"A012";"ARCHIVISTE";" أمين محفوظات"
"B001";"BALAYEUR";"منظف"
"B002";"BIBLIOTHECAIRE";"قيم على الحزانة"
"C001";"CADRE A LA DELEGATION";
"C002";"CADRE A L'ACADEMIE";
"C003";"CADRE DE DIRECTION CENTRALE";
"C004";"CARTOGRAPHE";"خرائطي(ة)"
"C005";"CENSEUR AU CFI";"ناظر بمركز تكوين المعلمين"
"C006";"CENSEUR AU CPR";"ناظر بالمركز التربوي الجهوي"
"C007";"CENSEUR AU Lycee";"ناظر ثانوية"
"C008";"CHARGE DE COURS";"مكلف بالدروس"
"C009";"charge de fonction";"مكلف بمهمة"
"C010";"CHARGE D'ETUDE";"مكلف بالدراسة"
"C011";"CHARGE D'INSPECTION PEDAGOGIQUE";"مكلف  بالتفتيش"
"C012";"CHAUFFEUR";"سائق"
"C013";"COMPTABLE";"محاسب"
"C014";"CONCIERGE";"حارس"
"C015";"Conseiller à la communication";"مستشار في الاتصال"
"C016";"Conseiller économique";"مستار اقتصادي"
"C017";"CONSEILLER EN ORIENTATION";"مستشار في التوجيه"
"C018";"CONSEILLER EN PLANIFICATION";"مستشار في التخطيط"
"C019";"Conseiller juridique";"مستشار قانوني"
"C020";"CONSEILLER PEDAGOGIQUE";"مستشار تربوي"
"C021";"conseiller technique";"مستشار تقني"
"C022";"coordinateur d'inspection";"مفتش منسق"
"C023";"CUISINIER";"طباخ"
"C024";"CENSEUR AU CRMEF";"ناظر بالمركز  الجهوي لمهن التربية و التكوين"
"C025";"CHARGE DE DIRECTION CENTRALE";" مكلف بالمديرية المركزية"
"C026";"CHARGE DE DIRECTION AREF";" مكلف بالأكاديمية"
