cd;nameFr;nameAr
0010;LINGUISTIQUES;اللسانيات
0011;LANGUE ARABE;اللغة العربية
0012;LANGUE FRANCAISE;اللغة الفرنسية
0013;LANGUE ANGLAISE;اللغة الإنجليزية
0014;LANGUE ESPAGNOLE;اللغة الإسبانية
0015;LANGUE ALLEMANDE;اللغة الألمانية
0016;LANGUE ITALIENNE;اللغة الإيطالية
0017;LANGUE AMAZIGHE;الأمازيغية
0018;HISTOIRE GEOGRAPHIE;الاجتماعيات
0019;MATHEMATIQUES;الرياضيات
0020;SC. DE LA VIE ET DE LA TERRE;علوم الحياة والأرض
0021;ZOOLOGIE ET BOTANIQUE;العلوم النباتية والحيوانية
0022;SC. ECONOMIQUES ET GESTION;العلوم الاقتصادية والتدبير
0023;PHYSIQUE CHIMIE;الفيزياء والكيمياء
0024;INSTRUCTION ISLAMIQUE;التربية الإسلامية
0025;الفقه الإسلامي;الفقه الإسلامي
0026;EDUCATION PHYSIQUE;التربية البدنية
0027;EDUCATION FAMILIALE;التربية الأسرية
0028;ARTS PALSTIQUES;التربية التشكيلية
0029;EDUCATION MUSICALE;التربية الموسيقية
0030;INFORMATIQUE;المعلوميات
0033;TECHNOLOGIE;التكنولوجيا 
0034;ACTIVITE SCIENTIFIQUE;النشاط العلمي 
0035;ARCHIVAGE ET DOCUMENTATION;التوثيق
0036;PHILOSOPHIE;الفلسفة
0037;TRADUCTION;الترجمة
0038;Inconu;Inconu
0039;Inconu;Inconu
0060;ASSIDUITE ET CONDUITE ; المواظبة و السلوك 
0095;DROIT ; القانون 
0111;CULTURE ARTISTIQUE;الثقافة الفنية
0112;ART ET INDUSTRIE GRAPHIQUE;الفن والصناعة البيانية
0113;SC.ET TECHNOLOGIES MECANIQUES;العلوم والتكنولوجيات الميكانيكية
0114;SC. ET TECHNOLOGIES ELECTRIQUES;العلوم والتكنولوجيات الكهربائية
0115;Inconu;Inconu
0116;CHIMIE INDUSTRIELLE;الكمياء الصناعية
0117;BATIMENT ET GENIE CIVIL;البناء و الهندسة المدنية
0118;FONDERIE;السبــــــاكة
0119;ENTREPOT  ET ENTRETIEN;المستودع والصيانة
0120;ENTRETIEN MATERIEL INFORMATIQUE;صيانة الآلات المعلومياتية
0121;EXPLICATION DU CORAN ET HADITH ; التفــسيــر و الحــديث 
0126;SCIENCES DE L'INGENIEUR ; عــلوم المـهـنـدس 
0127;LANGUE ARABE ET LITTERATURE ; اللغة العربية و آدابها 
0129;FARAYED ET ASTRONOMIE ; الفرائض و التوقيت 
0131;COMPTA. ET MATHS. FINANCIERES ; المحاسبة و الرياضيات المالية 
0132;ECO. GENERALE ET STATISTIQUES ; الإقتصاد العام و الإحصاء 
0133;ECO. ET ORG. ADMIN. ENTREPRISE; الإقتصاد و التنظيم الإداري للمقاولات 
0134;INFORMATIQUE DE GESTION ; معلوميات التدبير 
0135;INFORMATIQUE ET INFOGRAPHIE ; المعلوميات و الأنفوغرافيا 
0137;CULTURE PLASTIQUE ET HIST. ART ; الثقافة التشكيلية و تاريخ الفن 
0140;DESIGN DE COM. ET DE MULTIMEDIA ; فن تصميم التواصل و الوسائط المتعددة 
0141;DESIGN D'ENVIRONNEMENT; فن تصميم المحيط 
0142;DESIGN DE PRODUIT ; فن تصميم المنتوج 
0150;SCIENCES DE LA LANGUE ; علوم اللغة 
0151;LITTERATURE ARABE ; الآداب 
0152;DROIT MUSULMAN ET SES SOURCES;الفقه والأصول
0153;VOLUME;الحجم
0154;DESSIN ET EXPRESSION PLASTIQUE;الرسم والتعبير التشكيلي
0155;ATRS GRAPHIQUES;فنون الكرافيك
0156;القرِآن والتفسير ;القرِآن والتفسير 
0157;الحديث;الحديث
0158;السيرة النبوية;السيرة النبوية
0159;الفقه والتوحيد;الفقه والتوحيد
0310;BIOLOGIE;البيولوجيا
0311;GEOLOGIE;الجيولوجيا
0312;TERMINOLOGIE;الترجمة
0313;COORDINATION;التنسيق
0314;LEGISLATION;التشريع
0316;METHODOLOGIE;المنهجية
0317;PHYSIOLOGIE;علم وظائف الأعضاء
0318;SCIENCES DE L'EDUCATION;علوم التربية
0319;ETYMOLOGIE;إتيمولوجيا
0320;AUDIO-VISUEL;السمعي البصري
0321;DIDACTIQUE;تعليمي
0322;SC. ET TECHNIQUE ADMINISTRATIVE;العلوم وتقنيات الادارة
0323;AUDIO-VISUEL;السمعي البصري
0324;Inconu;Inconu
0401;Analyse et programmation;التحليل و البرمجة
0402;Analyse fonctionnelle ;التحليل الوظيفي
