typeContrainte;code;name;namear;language;key;afficherValeur;afficherProf;afficherSalle;afficherMatiere;afficherFillier;afficherMatin;afficherApresMidi;afficherDateExam
10;1110;Nombre minimum des professeurs hommes dans chaque salle;الحد الأدنى من المراقبين-الذكور  في  جميع القاعات;ar;value:Nombre minimum des professeurs hommes dans chaque salle;true;false;false;false;false;false;false;false
10;1120;Nombre minimum des professeurs femmes dans chaque salle;الحد الأدنى من المراقبات -الانات  في  جميع القاعات;ar;value:Nombre minimum des professeurs femmes dans chaque salle;true;false;false;false;false;false;false;false
10;1130;Nombre minimum des professeurs du qualifié dans chaque salle;الحد الأدنى من المراقبين الثانوي التأهيلي  في  جميع القاعات;ar;value:Nombre minimum des professeurs du qualifié dans chaque salle;true;false;false;false;false;false;false;false
10;1140;Nombre minimum des professeurs du collège dans chaque salle;الحد الأدنى من المراقبين الثانوي الاعدادي  في  جميع القاعات;ar;value:Nombre minimum des professeurs du collège dans chaque salle;true;false;false;false;false;false;false;false
10;1150;Nombre minimum des professeurs du primaire dans chaque salle;الحد الأدنى من المراقبين التعليم الابتدائي  في  جميع القاعات;ar;value:Nombre minimum des professeurs du primaire dans chaque salle;true;false;false;false;false;false;false;false
10;1160;Nombre minimum des surveillants dans chaque salle;الحد الأدنى من المراقبين  في جميع القاعات;ar;value:Nombre minimum des surveillants dans chaque salle;true;false;false;false;false;false;false;false
10;1170;Nombre maximum des surveillants dans chaque salle;الحد الاقصى من المراقبين  في جميع القاعات;ar;value:Nombre maximum des surveillants dans chaque salle;true;false;false;false;false;false;false;false

15;1111;Nombre minimum des professeurs hommes Par salle;الحد الأدنى من المراقبين-الذكور  حسب القاعة;ar;value:Nombre minimum des professeurs hommes Par salle;true;false;true;false;false;false;false;false
15;1121;Nombre minimum des professeurs femmes Par salle;الحد الأدنى من المراقبات -الانات  حسب القاعة;ar;value:Nombre minimum des professeurs femmes Par salle;true;false;true;false;false;false;false;false
15;1131;Nombre minimum des professeurs du qualifié Par salle;الحد الأدنى من المراقبين الثانوي التأهيلي  حسب القاعة;ar;value:Nombre minimum des professeurs du qualifié Par salle;true;false;true;false;false;false;false;false
15;1141;Nombre minimum des professeurs du collège Par salle;الحد الأدنى من المراقبين الثانوي الاعدادي  حسب القاعة;ar;value:Nombre minimum des professeurs du collège Par salle;true;false;true;false;false;false;false;false
15;1151;Nombre minimum des professeurs du primaire Par salle;الحد الأدنى من المراقبين التعليم الابتدائي  حسب القاعة;ar;value:Nombre minimum des professeurs du primaire Par salle;true;false;true;false;false;false;false;false
15;1161;Nombre minimum des surveillants Par salle;الحد الأدنى من المراقبين  حسب القاعة;ar;value:Nombre minimum des surveillants Par salle;true;false;true;false;false;false;false;false
15;1171;Nombre maximum des surveillants Par salle;الحد الاقصى من المراقبين  حسب القاعة;ar;value:Nombre maximum des surveillants Par salle;true;false;true;false;false;false;false;false

0;1040;Nombre maximum de gardes dans la même salle pour chaque professeur;الحد الاقصى من الحراسة في نفس القاعة لكل مراقب;ar;value:Nombre maximum de gardes dans la même salle pour chaque professeur;true;false;false;false;false;false;false;false
0;1050;Nombre maximum de gardes avec le même professeur pour chaque professeur;الحد الاقصى من الحراسة مع نفس المراقب;ar;value:Nombre maximum de gardes avec le même professeur pour chaque professeur;true;false;false;false;false;false;false;false
