"key","message","comment","context"
"(الحروف الصغيرة)أدخل عنوان بريدك الإلكتروني إذا نسيت كلمة المرور أو ترغب في إنشاء حساب جديد ، ثم انقر فوق التالي",,,"resources\views\Register.xml:13"
"<a class='fa fa-facebook' href='https://facebook.com/khalid.aitbenameur.1' target='_blank'/>",,,"resources\views\Etablissement.xml:155"
"<a class='fa fa-facebook' href='https://facebook.com/profile.php?id=1804555997' target='_blank'/>",,,"resources\views\Etablissement.xml:152"
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,,"resources\views\Etablissement.xml:149"
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,"resources\views\Etablissement.xml:160"
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,"resources\views\Etablissement.xml:157"
"<a class='fa fa-youtube' href='https://www.youtube.com/channel/UC9tkVzP7lu6jV-_uONVLFWg' target='_blank' />",,,"resources\views\Etablissement.xml:163"
"A server error occurred. Please contact the administrator.",,,"java\com\setting\web\EtablissementController.java:119
java\com\setting\web\EtablissementController.java:89"
"Academie","الأكاديمية",,"resources\domains\Etablissement.xml:17"
"Actif","مفعل",,"java\com\setting\service\EtablissementService.java:134
resources\domains\EtablissementRolsDescribe.xml:8
resources\domains\UserEtablissement.xml:8"
"Activation Etablissement","تفيل المؤسسة",,"java\com\setting\service\PermissionEtablissemntService.java:50"
"Adjoint","مساعد",,"resources\views\UserEtablissement.xml:41"
"Administrateur","مشرف",,"resources\views\UserEtablissement.xml:40"
"Adresse",,,"resources\domains\Etablissement.xml:20
resources\views\User.xml:68"
"An error occurs while opening the connection. Please verify the following URL : %s.",,,"java\com\setting\service\report\IExceptionMessage.java:14"
"Can not opening the connection to a empty URL.",,,"java\com\setting\service\report\IExceptionMessage.java:10"
"Centre de langue","مركز دعم اللغات",,"resources\views\Etablissement.xml:176"
"Change password?","غير كلمة السر؟",,"resources\views\User.xml:16"
"Chercher","بحث",,"resources\views\EtablissementLiaison.xml:16
resources\views\UserEtablissement.xml:16"
"Code","رمز",,"resources\domains\Cycle.xml:9
resources\domains\FonctionExaman.xml:10
resources\domains\ListContraint.xml:10
resources\domains\RoleDescribe.xml:9
resources\domains\Sexe.xml:9"
"Code D'activation","رمز التفعيل",,"resources\views\Register.xml:31"
"Commun","الجماعة",,"resources\domains\Etablissement.xml:19"
"Confirm password","تأكيد كلمة المرور",,"resources\views\User.xml:24"
"Confirmer le mot de passe","تأكيد كلمة المرور",,"resources\views\Register.xml:37"
"Connexion","تسجيل الدخول",,"resources\views\Register.xml:54"
"Creation une Etablissement","إنشاء مؤسسة",,"resources\views\User.xml:62"
"Current password","كلمة المرور الحالي",,"resources\views\User.xml:19"
"DateTime","التاريخ والتوقيت",,"resources\domains\ActivationUser.xml:10"
"Direction","المديرية",,"resources\domains\Etablissement.xml:18"
"Direction Prov","المديرية الاقليمية",,"resources\views\Etablissement.xml:174"
"Email","Email",,"resources\domains\ActivationUser.xml:8"
"Entrez votre adresse e-mail (Lettres miniscules) si vous avez oublié le mot de passe ou souhaitez créer un nouveau compte puis cliquez sur Suivant",,,"resources\views\Register.xml:10"
"Erreur ! Vérifiez l'e-mail, le code de confirmation ou le mot de passe",,,"resources\views\Register.xml:45"
"Etablissement","المؤسسة",,"resources\domains\EtablissementLiaison.xml:10
resources\domains\User.xml:11"
"Etablissement Annexe","المؤسسة الفرعية",,"resources\domains\Etablissement.xml:30"
"Etablissement Principal","المؤسسة الرئيسية",,"resources\domains\Etablissement.xml:27"
"Etablissement principal","المؤسسة الرئيسية",,"resources\domains\EtablissementLiaison.xml:11"
"EtablissementLiaison","المؤسسات المرتبطة",,"resources\views\EtablissementLiaison.xml:13
resources\views\EtablissementLiaison.xml:25
resources\views\EtablissementLiaison.xml:33
resources\views\EtablissementLiaison.xml:7"
"EtablissementRolsDescribe","صلاحيات المؤسسة",,"resources\views\EtablissementRoleDescribe.xml:13
resources\views\EtablissementRoleDescribe.xml:6"
"Etablissements","المؤسسات",,"resources\domains\EtablissementRolsDescribe.xml:11
resources\domains\User.xml:10
resources\domains\UserEtablissement.xml:11"
"Etablissements Père","الاكاديمية/المديرية",,"resources\views\Etablissement.xml:108
resources\views\Etablissement.xml:67"
"Etablissements fils","المؤسسات التعليمية التابعة",,"resources\views\Etablissement.xml:112
resources\views\Etablissement.xml:71"
