"key","message","comment","context"
"(الحروف الصغيرة)أدخل عنوان بريدك الإلكتروني إذا نسيت كلمة المرور أو ترغب في إنشاء حساب جديد ، ثم انقر فوق التالي",,,"resources\views\Register.xml:13"
"<a class='fa fa-facebook' href='https://facebook.com/khalid.aitbenameur.1' target='_blank'/>",,,"resources\views\Etablissement.xml:155"
"<a class='fa fa-facebook' href='https://facebook.com/profile.php?id=1804555997' target='_blank'/>",,,"resources\views\Etablissement.xml:152"
"<a class='fa fa-google' href='http://www.google.com' target='_blank' />",,,"resources\views\Etablissement.xml:149"
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,,"resources\views\Etablissement.xml:160"
"<a class='fa fa-twitter' href='http://www.twitter.com' target='_blank' />",,,"resources\views\Etablissement.xml:157"
"<a class='fa fa-youtube' href='https://www.youtube.com/channel/UC9tkVzP7lu6jV-_uONVLFWg' target='_blank' />",,,"resources\views\Etablissement.xml:163"
"A server error occurred. Please contact the administrator.",,,"java\com\setting\web\EtablissementController.java:119
java\com\setting\web\EtablissementController.java:89"
"Academie",,,"resources\domains\Etablissement.xml:17"
"Actif",,,"java\com\setting\service\EtablissementService.java:134
resources\domains\EtablissementRolsDescribe.xml:8
resources\domains\UserEtablissement.xml:8"
"Activation Etablissement",,,"java\com\setting\service\PermissionEtablissemntService.java:50"
"Adjoint",,,"resources\views\UserEtablissement.xml:41"
"Administrateur",,,"resources\views\UserEtablissement.xml:40"
"Adresse",,,"resources\domains\Etablissement.xml:20
resources\views\User.xml:68"
"An error occurs while opening the connection. Please verify the following URL : %s.",,,"java\com\setting\service\report\IExceptionMessage.java:14"
"Can not opening the connection to a empty URL.",,,"java\com\setting\service\report\IExceptionMessage.java:10"
"Centre de langue",,,"resources\views\Etablissement.xml:176"
"Change password?",,,"resources\views\User.xml:16"
"Chercher",,,"resources\views\EtablissementLiaison.xml:16
resources\views\UserEtablissement.xml:16"
"Code","Code",,"resources\domains\Cycle.xml:9
resources\domains\FonctionExaman.xml:10
resources\domains\ListContraint.xml:10
resources\domains\RoleDescribe.xml:9
resources\domains\Sexe.xml:9"
"Code D'activation",,,"resources\views\Register.xml:31"
"Commun",,,"resources\domains\Etablissement.xml:19"
"Confirm password",,,"resources\views\User.xml:24"
"Confirmer le mot de passe",,,"resources\views\Register.xml:37"
"Connexion",,,"resources\views\Register.xml:54"
"Creation une Etablissement",,,"resources\views\User.xml:62"
"Current password",,,"resources\views\User.xml:19"
"DateTime",,,"resources\domains\ActivationUser.xml:10"
"Direction",,,"resources\domains\Etablissement.xml:18"
"Direction Prov",,,"resources\views\Etablissement.xml:174"
"Email","Email",,"resources\domains\ActivationUser.xml:8"
"Entrez votre adresse e-mail (Lettres miniscules) si vous avez oublié le mot de passe ou souhaitez créer un nouveau compte puis cliquez sur Suivant",,,"resources\views\Register.xml:10"
"Erreur ! Vérifiez l'e-mail, le code de confirmation ou le mot de passe",,,"resources\views\Register.xml:45"
"Etablissement",,,"resources\domains\EtablissementLiaison.xml:10
resources\domains\User.xml:11"
"Etablissement Annexe",,,"resources\domains\Etablissement.xml:30"
"Etablissement Principal",,,"resources\domains\Etablissement.xml:27"
"Etablissement principal",,,"resources\domains\EtablissementLiaison.xml:11"
"EtablissementLiaison",,,"resources\views\EtablissementLiaison.xml:13
resources\views\EtablissementLiaison.xml:25
resources\views\EtablissementLiaison.xml:33
resources\views\EtablissementLiaison.xml:7"
"EtablissementRolsDescribe",,,"resources\views\EtablissementRoleDescribe.xml:13
resources\views\EtablissementRoleDescribe.xml:6"
"Etablissements",,,"resources\domains\EtablissementRolsDescribe.xml:11
resources\domains\User.xml:10
resources\domains\UserEtablissement.xml:11"
"Etablissements Père",,,"resources\views\Etablissement.xml:108
resources\views\Etablissement.xml:67"
"Etablissements fils",,,"resources\views\Etablissement.xml:112
resources\views\Etablissement.xml:71"
"Fillier",,,"resources\views\ListContraint.xml:36"
"Filliers",,,"resources\views\ListContraint.xml:37"
"Fonction",,,"resources\domains\UserEtablissement.xml:9"
"Gérer un utilisateur",,,"resources\views\UserEtablissement.xml:12"
"Il n'y a aucun utilisateur avec ce nom",,,"java\com\setting\web\UserEtablissementController.java:30"
"Il n'y a pas d'أ©tablissement avec ce code",,,"java\com\setting\web\EtablissementLiaisonController.java:19
java\com\setting\web\EtablissementLiaisonController.java:24"
