code;permissions

etablissementAdmin;perm.hakibati.svg.examen.Calendrier.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.CentreExam.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Contrainte.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.DossierExam.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Fillier.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Fillier.creat.admin.r
etablissementAdmin;perm.hakibati.svg.examen.Matiere.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Matiere.creat.admin.r
etablissementAdmin;perm.hakibati.svg.examen.Prof.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Resultats.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.SalleFillier.select.etab.rwcde
etablissementAdmin;perm.hakibati.svg.examen.Salles.select.etab.rwcde

demo;perm.hakibati.svg.examen.Calendrier.select.etab.rwcde
demo;perm.hakibati.svg.examen.CentreExam.select.etab.rwcde
demo;perm.hakibati.svg.examen.Contrainte.select.etab.rwcde
demo;perm.hakibati.svg.examen.DossierExam.select.etab.rwcde
demo;perm.hakibati.svg.examen.Fillier.select.etab.rwcde
demo;perm.hakibati.svg.examen.Fillier.creat.admin.r
demo;perm.hakibati.svg.examen.Matiere.select.etab.rwcde
demo;perm.hakibati.svg.examen.Matiere.creat.admin.r
demo;perm.hakibati.svg.examen.Prof.select.etab.rwcde
demo;perm.hakibati.svg.examen.Resultats.select.etab.rwcde
demo;perm.hakibati.svg.examen.SalleFillier.select.etab.rwcde
demo;perm.hakibati.svg.examen.Salles.select.etab.rwcde
